36,'01-01-1980 00:00:00',2,'en','971643039',21,1,57,170,'A2',,3,3,3,2,2,3,4,3,4,4,4,4,2,5,2,2,1,1,2,6,6,5,5,6,5
37,'01-01-1980 00:00:00',2,'en','320166050',20,1,80,170,'A2',,2,3,5,3,3,3,5,6,5,4,5,5,3,4,1,3,3,3,4,6,6,5,6,3,2
38,'01-01-1980 00:00:00',2,'en','1584563988',22,2,74,179,'A3',,4,6,5,3,2,3,2,3,5,5,3,5,4,5,4,4,5,5,4,4,6,5,4,5,3
39,,0,'en','2036439237',26,1,63,171,'A3',,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,'en','684789052',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,'en','412483785',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,'01-01-1980 00:00:00',2,'en','1780766507',21,1,68,168,'A3',,4,5,6,3,3,2,4,4,4,4,4,6,5,4,6,5,3,3,3,4,4,3,4,4,2
43,'01-01-1980 00:00:00',2,'en','440955417',22,1,65,165,'A3',,3,6,6,3,5,6,2,2,2,4,2,5,3,3,3,3,6,6,6,6,6,4,6,2,2
44,,,'en','1448322795',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,'01-01-1980 00:00:00',2,'en','1328674091',21,1,68,167,'A3',,3,6,6,2,2,5,2,3,5,4,3,4,4,2,3,4,4,3,4,5,5,5,3,5,3
46,'01-01-1980 00:00:00',2,'en','523358075',21,1,63,176,'A3',,3,4,5,3,2,4,2,4,5,4,4,3,3,4,2,3,3,4,3,6,5,3,4,4,2
47,'01-01-1980 00:00:00',2,'en','873941576',21,1,74,176,'A3',,5,4,4,3,3,5,2,2,3,3,2,4,5,4,4,5,5,5,5,4,5,3,4,4,2
48,,1,'en','1147839761',23,1,60,163,'A3',,,,,,,,,,,,,,,,,,,,,,,,,,
49,'01-01-1980 00:00:00',2,'en','354417206',22,1,68,169,'A3',,2,3,4,2,2,2,3,5,5,5,3,3,2,4,2,3,2,3,3,5,5,5,4,4,2
50,'01-01-1980 00:00:00',2,'en','2115666582',23,1,55,158,'A2',,3,3,5,2,3,2,4,2,3,6,3,4,2,3,1,2,3,4,2,5,6,3,3,5,2
51,'01-01-1980 00:00:00',2,'en','2126357702',23,,51,161,'A2',,1,3,6,1,1,2,4,4,4,4,3,5,3,2,1,1,3,3,3,6,6,5,5,4,6
52,'01-01-1980 00:00:00',2,'en','864339658',23,1,75,167,'A3',,2,3,2,3,1,2,2,4,4,4,4,4,3,3,4,1,1,1,2,5,6,2,3,2,4
